p,filenum
# mbar,
0.2,2
10.0,3
15.5,4
21.0,5
25.0,6
30.2,7
35.7,8
44.7,9
48.7,10
55.0,11
59.6,12
64.4,13
68.5,14
75.2,15
79.7,16
84.4,17
89.5,18
102,19
113,20
124.5,21
133.5,22
144.6,23
153.8,24
172.1,25
180.3,26
188.5,27
202,28
