x-axis,F1
Hertz,dBV
+57.5000E+03,+14.15625E+00
+58.0000E+03,+14.27344E+00
+58.5000E+03,+14.42969E+00
+59.0000E+03,+14.54688E+00
+59.5000E+03,+14.66406E+00
+60.0000E+03,+14.78125E+00
+60.5000E+03,+14.89844E+00
+61.0000E+03,+15.01563E+00
+61.5000E+03,+15.09375E+00
+62.0000E+03,+15.21094E+00
+62.5000E+03,+15.28906E+00
+63.0000E+03,+15.36719E+00
+63.5000E+03,+15.44531E+00
+64.0000E+03,+15.52344E+00
+64.5000E+03,+15.60156E+00
+65.0000E+03,+15.67969E+00
+65.5000E+03,+15.79688E+00
+66.0000E+03,+15.87500E+00
+66.5000E+03,+15.95313E+00
+67.0000E+03,+16.03125E+00
+67.5000E+03,+16.10938E+00
+68.0000E+03,+16.18750E+00
+68.5000E+03,+16.26563E+00
+69.0000E+03,+16.34375E+00
+69.5000E+03,+16.46094E+00
+70.0000E+03,+16.53906E+00
+70.5000E+03,+16.61719E+00
+71.0000E+03,+16.69531E+00
+71.5000E+03,+16.77344E+00
+72.0000E+03,+16.85156E+00
+72.5000E+03,+16.92969E+00
+73.0000E+03,+17.00781E+00
+73.5000E+03,+17.12500E+00
+74.0000E+03,+17.20313E+00
+74.5000E+03,+17.28125E+00
+75.0000E+03,+17.35938E+00
+75.5000E+03,+17.43750E+00
+76.0000E+03,+17.51563E+00
+76.5000E+03,+17.59375E+00
+77.0000E+03,+17.63281E+00
+77.5000E+03,+17.67188E+00
+78.0000E+03,+17.71094E+00
+78.5000E+03,+17.78906E+00
+79.0000E+03,+17.82813E+00
+79.5000E+03,+17.86719E+00
+80.0000E+03,+17.90625E+00
+80.5000E+03,+17.94531E+00
+81.0000E+03,+17.98438E+00
+81.5000E+03,+18.02344E+00
+82.0000E+03,+18.10156E+00
+82.5000E+03,+18.14063E+00
+83.0000E+03,+18.17969E+00
+83.5000E+03,+18.21875E+00
+84.0000E+03,+18.25781E+00
+84.5000E+03,+18.29688E+00
+85.0000E+03,+18.33594E+00
+85.5000E+03,+18.41406E+00
+86.0000E+03,+18.45313E+00
+86.5000E+03,+18.49219E+00
+87.0000E+03,+18.53125E+00
+87.5000E+03,+18.57031E+00
+88.0000E+03,+18.60938E+00
+88.5000E+03,+18.64844E+00
+89.0000E+03,+18.72656E+00
+89.5000E+03,+18.76563E+00
+90.0000E+03,+18.80469E+00
+90.5000E+03,+18.84375E+00
+91.0000E+03,+18.88281E+00
+91.5000E+03,+18.92188E+00
+92.0000E+03,+18.96094E+00
+92.5000E+03,+18.96094E+00
+93.0000E+03,+18.96094E+00
+93.5000E+03,+19.00000E+00
+94.0000E+03,+19.00000E+00
+94.5000E+03,+19.00000E+00
+95.0000E+03,+19.00000E+00
+95.5000E+03,+19.03906E+00
+96.0000E+03,+19.03906E+00
+96.5000E+03,+19.03906E+00
+97.0000E+03,+19.03906E+00
+97.5000E+03,+19.07813E+00
+98.0000E+03,+19.07813E+00
+98.5000E+03,+19.07813E+00
+99.0000E+03,+19.07813E+00
+99.5000E+03,+19.11719E+00
+100.0000E+03,+19.11719E+00
+100.5000E+03,+19.11719E+00
+101.0000E+03,+19.11719E+00
+101.5000E+03,+19.15625E+00
+102.0000E+03,+19.15625E+00
+102.5000E+03,+19.15625E+00
+103.0000E+03,+19.19531E+00
+103.5000E+03,+19.19531E+00
+104.0000E+03,+19.19531E+00
+104.5000E+03,+19.19531E+00
+105.0000E+03,+19.23438E+00
+105.5000E+03,+19.23438E+00
+106.0000E+03,+19.23438E+00
+106.5000E+03,+19.23438E+00
+107.0000E+03,+19.23438E+00
+107.5000E+03,+19.23438E+00
+108.0000E+03,+19.19531E+00
+108.5000E+03,+19.15625E+00
+109.0000E+03,+19.15625E+00
+109.5000E+03,+19.11719E+00
+110.0000E+03,+19.11719E+00
+110.5000E+03,+19.07813E+00
+111.0000E+03,+19.03906E+00
+111.5000E+03,+19.03906E+00
+112.0000E+03,+19.00000E+00
+112.5000E+03,+18.96094E+00
+113.0000E+03,+18.96094E+00
+113.5000E+03,+18.92188E+00
+114.0000E+03,+18.92188E+00
+114.5000E+03,+18.88281E+00
+115.0000E+03,+18.84375E+00
+115.5000E+03,+18.84375E+00
+116.0000E+03,+18.80469E+00
+116.5000E+03,+18.76563E+00
+117.0000E+03,+18.76563E+00
+117.5000E+03,+18.72656E+00
+118.0000E+03,+18.72656E+00
+118.5000E+03,+18.68750E+00
+119.0000E+03,+18.64844E+00
+119.5000E+03,+18.64844E+00
+120.0000E+03,+18.60938E+00
+120.5000E+03,+18.57031E+00
+121.0000E+03,+18.57031E+00
+121.5000E+03,+18.53125E+00
+122.0000E+03,+18.53125E+00
+122.5000E+03,+18.45313E+00
+123.0000E+03,+18.41406E+00
+123.5000E+03,+18.33594E+00
+124.0000E+03,+18.25781E+00
+124.5000E+03,+18.21875E+00
+125.0000E+03,+18.14063E+00
+125.5000E+03,+18.06250E+00
+126.0000E+03,+18.02344E+00
+126.5000E+03,+17.94531E+00
+127.0000E+03,+17.90625E+00
+127.5000E+03,+17.82813E+00
+128.0000E+03,+17.75000E+00
+128.5000E+03,+17.71094E+00
+129.0000E+03,+17.63281E+00
+129.5000E+03,+17.59375E+00
+130.0000E+03,+17.51563E+00
+130.5000E+03,+17.43750E+00
+131.0000E+03,+17.39844E+00
+131.5000E+03,+17.32031E+00
+132.0000E+03,+17.28125E+00
+132.5000E+03,+17.20313E+00
+133.0000E+03,+17.12500E+00
+133.5000E+03,+17.08594E+00
+134.0000E+03,+17.00781E+00
+134.5000E+03,+16.96875E+00
+135.0000E+03,+16.89063E+00
+135.5000E+03,+16.81250E+00
+136.0000E+03,+16.77344E+00
+136.5000E+03,+16.69531E+00
+137.0000E+03,+16.65625E+00
+137.5000E+03,+16.57813E+00
+138.0000E+03,+16.46094E+00
+138.5000E+03,+16.34375E+00
+139.0000E+03,+16.22656E+00
+139.5000E+03,+16.14844E+00
+140.0000E+03,+16.03125E+00
+140.5000E+03,+15.91406E+00
+141.0000E+03,+15.83594E+00
+141.5000E+03,+15.71875E+00
+142.0000E+03,+15.60156E+00
+142.5000E+03,+15.48438E+00
+143.0000E+03,+15.40625E+00
+143.5000E+03,+15.28906E+00
+144.0000E+03,+15.17188E+00
+144.5000E+03,+15.05469E+00
+145.0000E+03,+14.97656E+00
+145.5000E+03,+14.85938E+00
+146.0000E+03,+14.74219E+00
+146.5000E+03,+14.66406E+00
+147.0000E+03,+14.54688E+00
+147.5000E+03,+14.42969E+00
+148.0000E+03,+14.31250E+00
+148.5000E+03,+14.23438E+00
+149.0000E+03,+14.11719E+00
+149.5000E+03,+14.00000E+00
+150.0000E+03,+13.92188E+00
+150.5000E+03,+13.80469E+00
+151.0000E+03,+13.68750E+00
+151.5000E+03,+13.57031E+00
+152.0000E+03,+13.49219E+00
+152.5000E+03,+13.37500E+00
+153.0000E+03,+13.21875E+00
+153.5000E+03,+13.06250E+00
+154.0000E+03,+12.90625E+00
+154.5000E+03,+12.71094E+00
+155.0000E+03,+12.55469E+00
+155.5000E+03,+12.39844E+00
+156.0000E+03,+12.24219E+00
+156.5000E+03,+12.08594E+00
+157.0000E+03,+11.89063E+00
+157.5000E+03,+11.73438E+00
+158.0000E+03,+11.57813E+00
+158.5000E+03,+11.42188E+00
+159.0000E+03,+11.26563E+00
+159.5000E+03,+11.10938E+00
+160.0000E+03,+10.91406E+00
+160.5000E+03,+10.75781E+00
+161.0000E+03,+10.60156E+00
+161.5000E+03,+10.44531E+00
+162.0000E+03,+10.28906E+00
+162.5000E+03,+10.09375E+00
+163.0000E+03,+9.93750E+00
+163.5000E+03,+9.78125E+00
+164.0000E+03,+9.62500E+00
+164.5000E+03,+9.46875E+00
+165.0000E+03,+9.27344E+00
+165.5000E+03,+9.11719E+00
+166.0000E+03,+8.96094E+00
+166.5000E+03,+8.80469E+00
+167.0000E+03,+8.64844E+00
+167.5000E+03,+8.45313E+00
+168.0000E+03,+8.25781E+00
+168.5000E+03,+7.98438E+00
+169.0000E+03,+7.75000E+00
+169.5000E+03,+7.47656E+00
+170.0000E+03,+7.20313E+00
+170.5000E+03,+6.92969E+00
+171.0000E+03,+6.65625E+00
+171.5000E+03,+6.38281E+00
+172.0000E+03,+6.10938E+00
+172.5000E+03,+5.83594E+00
+173.0000E+03,+5.56250E+00
+173.5000E+03,+5.28906E+00
+174.0000E+03,+5.01563E+00
+174.5000E+03,+4.74219E+00
+175.0000E+03,+4.50781E+00
+175.5000E+03,+4.23438E+00
+176.0000E+03,+3.96094E+00
+176.5000E+03,+3.68750E+00
+177.0000E+03,+3.41406E+00
+177.5000E+03,+3.14063E+00
+178.0000E+03,+2.86719E+00
+178.5000E+03,+2.59375E+00
+179.0000E+03,+2.32031E+00
+179.5000E+03,+2.04688E+00
+180.0000E+03,+1.77344E+00
+180.5000E+03,+1.53906E+00
+181.0000E+03,+1.26563E+00
+181.5000E+03,+992.19E-03
+182.0000E+03,+718.75E-03
+182.5000E+03,+445.31E-03
+183.0000E+03,+171.88E-03
+183.5000E+03,-414.06E-03
+184.0000E+03,-1.03906E+00
+184.5000E+03,-1.70313E+00
+185.0000E+03,-2.36719E+00
+185.5000E+03,-2.99219E+00
+186.0000E+03,-3.65625E+00
+186.5000E+03,-4.32031E+00
+187.0000E+03,-4.94531E+00
+187.5000E+03,-5.60938E+00
+188.0000E+03,-6.27344E+00
+188.5000E+03,-6.89844E+00
+189.0000E+03,-7.56250E+00
+189.5000E+03,-8.22656E+00
+190.0000E+03,-8.85156E+00
+190.5000E+03,-9.51563E+00
+191.0000E+03,-10.17969E+00
+191.5000E+03,-10.84375E+00
+192.0000E+03,-11.46875E+00
+192.5000E+03,-12.13281E+00
+193.0000E+03,-12.79688E+00
+193.5000E+03,-13.42188E+00
+194.0000E+03,-14.08594E+00
+194.5000E+03,-14.75000E+00
+195.0000E+03,-15.37500E+00
+195.5000E+03,-16.03906E+00
+196.0000E+03,-16.70313E+00
+196.5000E+03,-17.32813E+00
+197.0000E+03,-17.99219E+00
+197.5000E+03,-18.65625E+00
+198.0000E+03,-19.28125E+00
+198.5000E+03,-19.75000E+00
+199.0000E+03,-19.63281E+00
+199.5000E+03,-19.51563E+00
+200.0000E+03,-19.39844E+00
+200.5000E+03,-19.32031E+00
+201.0000E+03,-19.20313E+00
+201.5000E+03,-19.08594E+00
+202.0000E+03,-18.96875E+00
+202.5000E+03,-18.89063E+00
+203.0000E+03,-18.77344E+00
+203.5000E+03,-18.65625E+00
+204.0000E+03,-18.53906E+00
+204.5000E+03,-18.46094E+00
+205.0000E+03,-18.34375E+00
+205.5000E+03,-18.22656E+00
+206.0000E+03,-18.10938E+00
+206.5000E+03,-18.03125E+00
+207.0000E+03,-17.91406E+00
+207.5000E+03,-17.79688E+00
+208.0000E+03,-17.67969E+00
+208.5000E+03,-17.60156E+00
+209.0000E+03,-17.48438E+00
+209.5000E+03,-17.36719E+00
+210.0000E+03,-17.25000E+00
+210.5000E+03,-17.17188E+00
+211.0000E+03,-17.05469E+00
+211.5000E+03,-16.93750E+00
+212.0000E+03,-16.82031E+00
+212.5000E+03,-16.74219E+00
+213.0000E+03,-16.62500E+00
+213.5000E+03,-16.50781E+00
+214.0000E+03,-16.46875E+00
+214.5000E+03,-16.39063E+00
+215.0000E+03,-16.35156E+00
+215.5000E+03,-16.31250E+00
+216.0000E+03,-16.27344E+00
+216.5000E+03,-16.23438E+00
+217.0000E+03,-16.19531E+00
+217.5000E+03,-16.11719E+00
+218.0000E+03,-16.07813E+00
+218.5000E+03,-16.03906E+00
+219.0000E+03,-16.00000E+00
+219.5000E+03,-15.96094E+00
+220.0000E+03,-15.88281E+00
+220.5000E+03,-15.84375E+00
+221.0000E+03,-15.80469E+00
+221.5000E+03,-15.76563E+00
+222.0000E+03,-15.72656E+00
+222.5000E+03,-15.68750E+00
+223.0000E+03,-15.60938E+00
+223.5000E+03,-15.57031E+00
+224.0000E+03,-15.53125E+00
+224.5000E+03,-15.49219E+00
+225.0000E+03,-15.45313E+00
+225.5000E+03,-15.37500E+00
+226.0000E+03,-15.33594E+00
+226.5000E+03,-15.29688E+00
+227.0000E+03,-15.25781E+00
+227.5000E+03,-15.21875E+00
+228.0000E+03,-15.17969E+00
+228.5000E+03,-15.10156E+00
+229.0000E+03,-14.98438E+00
+229.5000E+03,-14.55469E+00
+230.0000E+03,-14.08594E+00
+230.5000E+03,-13.65625E+00
+231.0000E+03,-13.22656E+00
+231.5000E+03,-12.79688E+00
+232.0000E+03,-12.36719E+00
+232.5000E+03,-11.89844E+00
+233.0000E+03,-11.46875E+00
+233.5000E+03,-11.03906E+00
+234.0000E+03,-10.60938E+00
+234.5000E+03,-10.17969E+00
+235.0000E+03,-9.71094E+00
+235.5000E+03,-9.28125E+00
+236.0000E+03,-8.85156E+00
+236.5000E+03,-8.42188E+00
+237.0000E+03,-7.99219E+00
+237.5000E+03,-7.52344E+00
+238.0000E+03,-7.09375E+00
+238.5000E+03,-6.66406E+00
+239.0000E+03,-6.23438E+00
+239.5000E+03,-5.80469E+00
+240.0000E+03,-5.33594E+00
+240.5000E+03,-4.90625E+00
+241.0000E+03,-4.47656E+00
+241.5000E+03,-4.04688E+00
+242.0000E+03,-3.57813E+00
+242.5000E+03,-3.14844E+00
+243.0000E+03,-2.71875E+00
+243.5000E+03,-2.28906E+00
+244.0000E+03,-1.85938E+00
+244.5000E+03,-1.58594E+00
+245.0000E+03,-1.39063E+00
+245.5000E+03,-1.19531E+00
+246.0000E+03,-1.00000E+00
+246.5000E+03,-843.75E-03
+247.0000E+03,-648.44E-03
+247.5000E+03,-453.13E-03
+248.0000E+03,-257.81E-03
+248.5000E+03,-62.50E-03
+249.0000E+03,+132.81E-03
+249.5000E+03,+289.06E-03
+250.0000E+03,+484.38E-03
+250.5000E+03,+679.69E-03
+251.0000E+03,+875.00E-03
+251.5000E+03,+1.07031E+00
+252.0000E+03,+1.26563E+00
+252.5000E+03,+1.46094E+00
+253.0000E+03,+1.61719E+00
+253.5000E+03,+1.81250E+00
+254.0000E+03,+2.00781E+00
+254.5000E+03,+2.20313E+00
+255.0000E+03,+2.39844E+00
+255.5000E+03,+2.59375E+00
+256.0000E+03,+2.78906E+00
+256.5000E+03,+2.94531E+00
+257.0000E+03,+3.14063E+00
+257.5000E+03,+3.33594E+00
+258.0000E+03,+3.53125E+00
+258.5000E+03,+3.72656E+00
+259.0000E+03,+3.92188E+00
+259.5000E+03,+4.07813E+00
+260.0000E+03,+4.19531E+00
+260.5000E+03,+4.27344E+00
+261.0000E+03,+4.39063E+00
+261.5000E+03,+4.50781E+00
+262.0000E+03,+4.58594E+00
+262.5000E+03,+4.70313E+00
+263.0000E+03,+4.82031E+00
+263.5000E+03,+4.93750E+00
+264.0000E+03,+5.01563E+00
+264.5000E+03,+5.13281E+00
+265.0000E+03,+5.25000E+00
+265.5000E+03,+5.32813E+00
+266.0000E+03,+5.44531E+00
+266.5000E+03,+5.56250E+00
+267.0000E+03,+5.64063E+00
+267.5000E+03,+5.75781E+00
+268.0000E+03,+5.87500E+00
+268.5000E+03,+5.95313E+00
+269.0000E+03,+6.07031E+00
+269.5000E+03,+6.18750E+00
+270.0000E+03,+6.26563E+00
+270.5000E+03,+6.38281E+00
+271.0000E+03,+6.50000E+00
+271.5000E+03,+6.61719E+00
+272.0000E+03,+6.69531E+00
+272.5000E+03,+6.81250E+00
+273.0000E+03,+6.92969E+00
+273.5000E+03,+7.00781E+00
